Date,Close,High,Low,Open,Volume,Return,SMA_10,SMA_20,RSI,MACD,MACD_signal,Lag_1,Lag_2,Lag_3,Target
2021-09-03,1086.796142578125,1089.753727352986,1047.6651320377116,1051.0776557907193,30664428,0.041012801146267375,1023.0899658203125,995.822232055664,79.8288227048283,24.74362279312902,16.40798145691199,1043.9796142578125,1031.5576171875,1027.4854736328125,1
2021-09-06,1103.67724609375,1128.4299004209945,1097.4889922462603,1097.944051619568,33641710,0.01553290709661459,1035.0681640625,1003.4789520263672,81.86867228636012,29.336469435149183,18.99367905255943,1086.796142578125,1043.9796142578125,1031.5576171875,1
2021-09-07,1110.638916015625,1118.4195769224002,1097.4890117544835,1105.6792381399396,17349882,0.006307704491067989,1046.7710754394532,1011.7544891357422,82.64798899879244,33.15588170474314,21.82611958299617,1103.67724609375,1086.796142578125,1043.9796142578125,0
2021-09-08,1106.29345703125,1116.5995103115172,1095.054658449374,1115.689511959844,14301651,-0.003912575835145593,1057.1794738769531,1019.5647735595703,80.32710513725993,35.42380761858021,24.54565719011298,1110.638916015625,1103.67724609375,1086.796142578125,0
2021-09-09,1103.67724609375,1109.2510915570197,1099.35460328716,1104.7237261918483,8963249,-0.0023648435420748903,1066.0590454101562,1026.5787872314454,78.89072675586377,36.58828194787043,26.95418214166447,1106.29345703125,1110.638916015625,1103.67724609375,0
2021-09-13,1079.0838623046875,1107.0443192185294,1077.4913349676583,1107.0443192185294,16311160,-0.022283130214114655,1072.6180541992187,1032.5178344726562,66.79856164206241,35.12179353382385,28.587704420096347,1103.67724609375,1106.29345703125,1110.638916015625,0
2021-09-14,1077.67333984375,1089.2988378614205,1076.5584984650136,1080.6536720322044,8908356,-0.0013071481376109029,1077.0862915039063,1037.5866760253907,66.17209293085659,33.4600667050363,29.56217687708434,1079.0838623046875,1103.67724609375,1106.29345703125,1
2021-09-15,1082.155029296875,1090.0949179081745,1077.695905241629,1077.695905241629,9071075,0.004158671544918002,1082.5532470703124,1042.2459991455078,67.22389976981867,32.134346363015766,30.076610774270627,1077.67333984375,1079.0838623046875,1103.67724609375,1
2021-09-16,1104.860107421875,1108.750437452325,1077.013388880378,1083.6338341939222,13448882,0.020981354344166814,1089.88349609375,1048.2510162353515,71.97760301337043,32.540704505443955,30.56942952050529,1082.155029296875,1077.67333984375,1079.0838623046875,0
2021-09-17,1087.7288818359375,1117.441211114052,1080.9264609621353,1112.9593400786748,34882133,-0.015505334540417248,1094.2584228515625,1053.2083648681642,64.38939466465618,31.121648536041448,30.679873323612526,1104.860107421875,1082.155029296875,1077.67333984375,1
2021-09-20,1089.4581298828125,1100.3783514488218,1078.3785593037169,1079.3340516110384,11779819,0.001589778552129939,1094.5246215820312,1058.8072937011718,64.79287830608496,29.7931356003794,30.502525778965904,1087.7288818359375,1104.860107421875,1082.155029296875,1
2021-09-21,1094.1673583984375,1099.5819747220887,1084.7485569386888,1094.3038400919852,9915736,0.00432254199262494,1093.5736328125,1064.3208984375,65.92516774526013,28.788419927242558,30.159704608621237,1089.4581298828125,1087.7288818359375,1104.860107421875,1
2021-09-22,1105.90673828125,1111.1392587944545,1091.2325487612284,1095.6689260415033,10995912,0.010729053277549472,1093.1004150390625,1069.9357452392578,68.63333427117281,28.609651114983535,29.8496939098937,1094.1673583984375,1089.4581298828125,1087.7288818359375,1
2021-09-23,1132.9344482421875,1136.1649964932392,1112.731907489886,1113.596411926489,15748397,0.024439411593551563,1095.7645141601563,1076.4719940185546,73.79683425289716,30.299610804656368,29.939677288846234,1105.90673828125,1094.1673583984375,1089.4581298828125,0
2021-09-24,1129.6583251953125,1140.009872555042,1124.7897556991463,1139.1453680882423,15192163,-0.0028917145665030564,1098.3626220703125,1082.2108337402344,72.244391479932,31.017015437502096,30.155144918577406,1132.9344482421875,1105.90673828125,1094.1673583984375,1
2021-09-27,1148.655029296875,1151.134928281977,1126.2912870102596,1131.6149158288963,15373834,0.01681632727159177,1105.3197387695313,1088.968896484375,75.4671555285485,32.74102092789053,30.672320120440034,1129.6583251953125,1132.9344482421875,1105.90673828125,1
2021-09-28,1159.3934326171875,1167.0603586138618,1143.354184437372,1153.0004562253168,18035258,0.00934867566538733,1113.491748046875,1095.2890197753907,77.08676498294979,34.57524519887056,31.45290513612614,1148.655029296875,1129.6583251953125,1132.9344482421875,0
2021-09-29,1150.2021484375,1169.38083570803,1146.653022546889,1169.38083570803,9719875,-0.007927666244356146,1120.2964599609375,1101.424853515625,72.66487345180155,34.885087753550806,32.13934165961108,1159.3934326171875,1148.655029296875,1129.6583251953125,0
2021-09-30,1146.2889404296875,1153.273457399079,1137.6892697076169,1148.9053210131074,13590654,-0.003402191530530896,1124.4393432617187,1107.1614196777343,70.80270260597521,34.418126292878696,32.595098586264605,1150.2021484375,1159.3934326171875,1148.655029296875,1
2021-10-01,1148.3138427734375,1155.6395643825463,1135.2550471541776,1138.417354693103,8958928,0.0017664851088861067,1130.4978393554688,1112.3781311035157,71.21379108656957,33.82157460845906,32.840393790703494,1146.2889404296875,1150.2021484375,1159.3934326171875,1
2021-10-04,1163.0789794921875,1171.587662580675,1154.38820045178,1161.645680951927,10918552,0.012858102174479358,1137.8599243164062,1116.1922729492187,74.07963087939997,34.146605424629115,33.101636117488624,1148.3138427734375,1146.2889404296875,1150.2021484375,1
2021-10-05,1187.2174072265625,1188.4914771861918,1159.0748554855732,1162.6012346483487,13533634,0.020753902495008525,1147.1649291992187,1120.3692810058594,77.94530076999548,35.93769667622678,33.668848229236254,1163.0789794921875,1148.3138427734375,1146.2889404296875,0
2021-10-06,1164.7625732421875,1192.1087413964174,1160.78125500237,1192.1087413964174,10258881,-0.018913834860989187,1153.0505126953126,1123.0754638671874,67.81352730990292,35.140158089109946,33.963110201210995,1187.2174072265625,1163.0789794921875,1148.3138427734375,1
2021-10-07,1170.4730224609375,1182.4625914537355,1168.3344479778266,1180.7562090449592,6336665,0.004902672312739664,1156.8043701171875,1126.284442138672,68.91995314250065,34.57038268828774,34.084564698626345,1164.7625732421875,1187.2174072265625,1163.0789794921875,1
2021-10-08,1215.4510498046875,1221.4344612360428,1174.6136499701672,1176.319912141792,15772493,0.038427222567832375,1165.383642578125,1131.8731323242187,75.93648875340392,37.31800376989963,34.73125251288101,1170.4730224609375,1164.7625732421875,1187.2174072265625,0
2021-10-11,1206.987548828125,1237.6326239992216,1203.6660128198464,1229.1694349795048,14768666,-0.006963259423670376,1171.21689453125,1138.2683166503907,72.61449568294817,38.370270878218435,35.4590561859485,1215.4510498046875,1170.4730224609375,1164.7625732421875,1
2021-10-12,1213.881103515625,1220.797380462856,1201.8005463413256,1203.5069288032655,6682011,0.005711371831625733,1176.6656616210937,1145.0787048339844,73.62652574840611,39.3073418255824,36.228713313875275,1206.987548828125,1215.4510498046875,1170.4730224609375,1
2021-10-13,1226.2344970703125,1237.4050535570852,1214.5633873865163,1218.9770173074653,9959762,0.010176773918722182,1184.268896484375,1152.2826782226562,75.38222153292743,40.57902320095013,37.098775291290245,1213.881103515625,1206.987548828125,1215.4510498046875,1
2021-10-14,1228.7144775390625,1236.47251177523,1222.7083196035724,1228.69173058792,8623469,0.0020224357369451607,1192.5114501953126,1158.4753967285155,75.73149977025999,41.31074895179722,37.94117002339164,1226.2344970703125,1213.881103515625,1206.987548828125,1
2021-10-18,1231.9906005859375,1249.0079672854492,1211.3784935963072,1214.24509076485,13594479,0.00266630133099488,1200.8791259765626,1165.6884826660157,76.21165701592292,41.67460374093753,38.68785676690082,1228.7144775390625,1226.2344970703125,1213.881103515625,1
2021-10-19,1243.0245361328125,1251.8972908980181,1232.1725560059265,1239.3616754056989,8833409,0.008956184845588355,1208.873681640625,1173.3668029785156,77.80445700486854,42.36495088442007,39.42327559040467,1231.9906005859375,1228.7144775390625,1226.2344970703125,0
2021-10-20,1228.7144775390625,1247.9842743668398,1224.6649184645307,1247.9842743668398,12710570,-0.011512289723797586,1213.023388671875,1180.0941589355468,71.15063070606587,41.28148655477639,39.79491778327902,1243.0245361328125,1231.9906005859375,1228.7144775390625,0
2021-10-21,1193.2689208984375,1241.2726844412653,1184.4871546113602,1240.9997210618956,20831669,-0.028847675589871224,1215.8740234375,1184.4622680664063,57.93437626870468,37.13460842711606,39.26285591204643,1228.7144775390625,1243.0245361328125,1231.9906005859375,1
2021-10-22,1195.4986572265625,1212.56163907253,1188.2639230760203,1192.1315066188683,11027475,0.0018685949906800392,1218.3765869140625,1187.590478515625,58.45713640030403,33.64031412048507,38.138347553734164,1193.2689208984375,1228.7144775390625,1243.0245361328125,0
2021-10-25,1183.8502197265625,1219.4322268467454,1169.3808726672285,1219.4322268467454,17198417,-0.009743580580026112,1215.21650390625,1190.3000732421874,54.637148405289,29.590033662349697,36.42868477545727,1195.4986572265625,1193.2689208984375,1228.7144775390625,1
2021-10-26,1210.8096923828125,1214.3815653473446,1184.464511564794,1190.8119938799573,9750178,0.022772705708055563,1215.5987182617187,1193.4078063964844,60.99075610524896,28.230141849638585,34.78897619029354,1183.8502197265625,1195.4986572265625,1193.2689208984375,0
2021-10-27,1195.4986572265625,1217.976256032517,1192.1087596672703,1206.691962726344,9896298,-0.012645286251482424,1213.7604736328126,1195.213067626953,56.178303015329135,25.621595410125337,32.9555000342599,1210.8096923828125,1183.8502197265625,1195.4986572265625,0
2021-10-28,1182.39404296875,1200.298779292571,1178.708556028044,1192.1313011797697,9886181,-0.010961630260810096,1209.3764282226562,1196.8226623535156,52.36952633768014,22.240496117460452,30.81249925090001,1195.4986572265625,1210.8096923828125,1183.8502197265625,0
2021-10-29,1154.0242919921875,1181.2794715076984,1138.303621720808,1181.2794715076984,14233025,-0.02399348266786916,1201.9074096679688,1197.2094299316407,45.221618275750096,17.0749197149064,28.06498334370129,1182.39404296875,1195.4986572265625,1210.8096923828125,1
